huo luo xiao ling dan 	活络效灵丹	hlxld
huo xiang zheng qi san 	藿香正气散	hxzqs
ji chuang jian 	济川煎	jcj
ji sheng shen qi wan 	济生肾气丸	jssqw
jia wei gan mai da zao tang 	加味甘麦大枣汤	jwgmdzt
jia wei qian yang feng shui dan 	潜阳封髓丹-加味	jwqyfsd
jia wei si wu tang	加味四物汤	jwswt
jia wei wen dan tang 	加味温胆汤	jwwdt
jia wei xiao yao san	加味逍遥散	jwxys
jian pi wan	健脾丸	jpw
jiao ai tang	胶艾汤	jat
jiao tai wan 	交泰丸	jtw
jie geng tang	桔梗汤	jgt
jin gui shen qi wan	金匮肾气丸	jgsqw
jin ling zi san 	金铃子散	jlzs
jin suo gu jing wan	金锁固精汤	jsgjw
jing qian fang 	经前方	jqg
jiu wei qiang huo tang	九味羌活汤	jwqht
ju he wan	橘核丸	jhw
ju pi zhu ru tang	橘皮竹茹汤	jpzrt
ju yuan jian	举元煎	jyj
juan bi tang	蠲痹汤	jbt
li zhong an hui tang	理中安蛔汤	lzaht
li zhong wan	理中丸合剂	lzw
lian po yin	连朴饮	lpy
liang ge san	凉隔散	lgs
ling gan wu wei jiang xin tang	苓甘五味姜辛汤	lgwwjxt
ling gui zhu gan tang	苓桂术甘汤	lgsgt
ling jiao gou teng tang	羚角钩藤汤	ljgtt
liu jun zi tang	六君子汤	ljzt
liu shen wan 	六神丸	lsw
liu wei di huang wan	六味地黄丸	lwdhw
liu yi san 	六一散	lys
liu zi yang zong tang 	六子衍宗丸	lzyzt
long dan xie gan tang 	龙胆泻肝汤	ldxgt
liu shi gui zhi tang 	桂枝汤 - 卢氏加减	lsgzt
ma huang fu zi xi xin tang 	麻黄附子细辛汤	mhfzxxt
ma huang lian qiao chi xiao dou tang 	麻黃连翘赤小豆湯	mhlqcxdt
ma huang tang 	麻黄汤	mht
ma xing shi gan tang	麻杏石甘汤	mxsgt
ma xing shi yi tang 	麻杏薏甘汤	mxsyt
ma zi ren wan 	麻子仁丸	mzrw
mai men dong tang 	麦门冬汤	mmdt
ming mu di huang wan 	明目地黄丸	mmdhw
mu li san 	牡蛎散	mls
mu xiang bin lang wan 	木香槟榔丸	mxblw
ping wei san 	平胃散	pws
pu ji xiao du yin 	普济消毒饮	pjxdy
qi bao mei ran dan 	七宝美髯丹	qbmrd
qi gong wan 	启宫丸	qgw
qi ju di huang wan 	杞菊地黄丸	qjdhw
qi li san 	七厘散	qls
qian yang feng shui dan 	潜阳封髓丹	qyfsd
qi zhen san 	起枕散	qzs
qian zheng san 	牵正散	qzs
qiang huo sheng shi tang 	羌活胜湿汤	qhsst
qin jiao bei jia tang 	青蒿鳖甲汤	qjbjt
qing gu san 	清骨散	qgs
qing hao bie jia tang 	青蒿鳖甲汤	qhbjt
qing luo yin 	清络饮	qly
qing qi hua tan wan 	清气化痰丸	qqhtw
qing shu yi qi tang 	清暑益气汤	qsyqt
qing wei san 	清胃散	qws
qing wen bai du yin 	清瘟败毒饮	qwbdy
qing ying tang 	清营汤	qyt
qing zao jiu fei tang 	清燥救肺汤	qzjft
ren shen bai du san 	人参败毒散	rsbds
