Activate Meridian 	活络 	hl
Regulate Menstruation 	调理月経	tlyj
Regulate Qi 	理气	lq
Regulate Ren Meridian 	调理任脉	tlrm
Regulate San Jiao 	调理三焦	tlsj
Regulate Small Intestine 	调理小肠	tlxc
Regulate Sweating 	调节汗水	tjhs
Regulate Urination 	调节泌尿	tjmn
Regulate Uterus 	调理子宫	tlzg
Regulate Water Passages 	调节水道	tjsd
Regulate Yangqiao Meridian 	調理阳蹻脉	tlyqm
Regulate Yin Blood 	调理阴血	tlyx
Regulate Yinqiao Meridian 	调理阴蹻脉	tlyqm
Regulate Yinwei Meridian 	调理阴维脉	tlywm
Reinforce Kidney 	强腎	qs
Relax Sinews 	舒韧带	srd
Relax Tendon 	舒筋	sj
Release Exterior 	解表	jb
Release Spasm 	解痉	jj
Relieve Nausea 	解闷	jm
Relieve Stagnation 	去滞	qz
Remove Obstruction 	解積	jj
Rescue Yang 	廻阳	hy
Resolve Blood Stasis 	破血瘀	pxy
Resolve Dampness 	去濕	qs
Resolve Food Stagnation 	消痞	xp
Resolve Heat Poison 	解热毒	jrd
Resolve Hemorrhoids 	化痔	hz
Resolve Phlegm 	化痰	ht
Resolve Turbid Phlegm 	化濁痰	hzt
Resolve Water Retention 	化水飲	hsy
Restore Consciousness 	神复苏	sfu
Resuscitate 	人工呼吸	rghx
Separate Turbid from Clear 	分清別濁	fqbz
Settle Tetany	解强直	jqz
Soften Abdominal Masses 	軟癖	rp
Soften Hardness 	軟堅	rj
Soften Nodules 	軟瘿	ry
Soothe Liver Qi 	调肝气	dgq
Soothe Qi 	调气	dq
Spread Liver Qi 	散佈肝气	sbgq
Stabilize Spirit 	定神	ds
Stop Bleeding	止血	zx
Stop Cough 	止咳	zk
Stop Diarrhea 	止泻	zx
Stop Dysentery 	止疴	zk
Stop Leucorrhea 	止带下	zdx
Stop Pain 	止痛	zt
Stop Sweating 	止汗	zh
Stop Thirst 	止渴	zk
Stop Uterine Bleeding 	止尿血	znx
Strengthen Back 	强腰背	qyb
Strengthen Bones 	壯骨	zg
Strengthen Essence 	强精	qj
Strengthen Knee 	壯膝	zx
Strengthen Lower Back 	壯腰	zy
Strengthen Spine 	强脊骨	qjg
Strengthen Will 	壮志	zz
Stretch Tendon 	拉筋	lj
Subdue Liver Yang 	祛肝阳	qgy
Tonify Bone Marrow 	补骨髄	bgs
Tonify Deficiency 	补虚	bx
Tonify Fu Organs 	补腑臟	bfz
Tonify Heart Qi 	补心气	bxq
Tonify Heart Yang 	补心阳	bxy
Tonify Kidney 	补肾	bs
